"_id","id","description","options","probability","phase","translation.HI","image","audio.HI","title"
"ObjectId(""5fc3ef49660616e15361e14a"")",15,"The bathroom floor is wet and slippery, which causes your ageing mother to slip and fall. She needs to be hospitalized.","[{""id"":1,""description"":""Oh no..."",""action"":{""expenditure"":0,""debt"":0,""current"":-200000,""events"":[]},""audio"":{""HI"":""event_15_option_1.mp3""},""translation"":{""HI"":""अरे नहीं...""}}]",0.3,4,"बाथरूम का फर्श गीला और फिसलन भरा है, जिसके कारण आपकी बूढ़ी माँ फिसल कर गिर जाती है। उन्हें अस्पताल में एडमिट करने की जरूरत है।","event_15.png","event_15.mp3","The bathroom floor is wet and slippery, which causes your ageing mother to slip and fall. She needs to be hospitalized."
"ObjectId(""5fc3ef49660616e15361e14b"")",16,"Your children's clothes are getting worn out; they need new clothes.","[{""id"":1,""description"":""Buy them new clothes (Will cost ₹4000)"",""action"":{""expenditure"":0,""debt"":0,""current"":-4000,""events"":[]},""audio"":{""HI"":""event_16_option_1.mp3""},""translation"":{""HI"":""उनके लिए नए कपड़े खरीदें (₹4000 खर्च होंगे)""}},{""id"":2,""description"":""Get second-hand clothes"",""action"":{""expenditure"":0,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_16_option_2.mp3""},""translation"":{""HI"":""सेकंड-हैंड कपड़े लाएं -- (TODO : कोई बेहतर शब्द?)""}}]",0.6,4,"आपके बच्चों के कपड़े पुराने और खराब हो रहे हैं; उन्हें नए कपड़ों की ज़रूरत है|","event_16.png","event_16.mp3","Your children's clothes are getting worn out; they need new clothes."
"ObjectId(""5fc3ef49660616e15361e14c"")",17,"You fall ill with dengue and have to be hospitalized.","[{""id"":1,""description"":""Oh no..."",""action"":{""expenditure"":0,""debt"":0,""current"":-200000,""events"":[]},""audio"":{""HI"":""event_17_option_1.mp3""},""translation"":{""HI"":""अरे नहीं...""}}]",0.7,4,"आपको डेंगू हो जाता है और अस्पताल में एडमिट होना पड़ेगा |","event_17.png","event_17.mp3","You fall ill with dengue and have to be hospitalized."
"ObjectId(""5fc3ef49660616e15361e14d"")",18,"You receive a call from a person who claims that they're from the bank, and that your account will be frozen unless you provide your bank details.","[{""id"":1,""description"":""You provide your bank details."",""action"":{""expenditure"":0,""debt"":0,""current"":-100000000000,""events"":[]},""audio"":{""HI"":""event_18_option_1.mp3""},""translation"":{""HI"":""उसे बैंक डिटेल्स बता दें""}},{""id"":2,""description"":""You cut the call immediately"",""action"":{""expenditure"":0,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_18_option_2.mp3""},""translation"":{""HI"":""तुरंत कॉल काट दें""}}]",0.5,"[1,2,3,4]","आपको किसी व्यक्ति से कॉल आता है जो कहता है कि वह बैंक से है, और अगर आप अपने बैंक डिटेल्स उसे नहीं देंगे, तोह आपका खाता फ़्रीज़ कर दिया जायगा।","event_18.png","event_18.mp3","You receive a call from a person who claims that they're from the bank, and that your account will be frozen unless you provide your bank details."
"ObjectId(""5fc3ef49660616e15361e14e"")",4,"Your family members try to convince you to get married. What do you do?","[{""id"":1,""description"":""Agree to get married (You have to spend Rs 60000 on your part, family members will take care of the rest)"",""action"":{""expenditure"":0,""debt"":0,""current"":-60000,""events"":[]},""audio"":{""HI"":""event_4_option_1.mp3""},""translation"":{""HI"":""शादी करने के लिए सहमत (आपको अपनी ओर से 60000 रुपये खर्च करने होंगे, परिवार के अन्य सदस्य बाकी का खर्च संभालेंगे)""}},{""id"":2,""description"":""Will do it later"",""action"":{""expenditure"":0,""debt"":0,""current"":0,""events"":[{""id"":5,""probability"":1}]},""audio"":{""HI"":""event_4_option_2.mp3""},""translation"":{""HI"":""बाद में करेंगे|""}}]",1,1,"आपके परिवार के सदस्य आपको शादी करने के लिए मनाने की कोशिश करते हैं। आप क्या करते हैं?","event_4.png","event_4.mp3","Your family members try to convince you to get married. What do you do?"
"ObjectId(""5fc3ef49660616e15361e14f"")",22,"Your employer gives you a hefty bonus for Diwali.","[{""id"":1,""description"":""That's great!"",""action"":{""expenditure"":0,""debt"":0,""current"":20000,""events"":[]},""audio"":{""HI"":""event_22_option_1.mp3""},""translation"":{""HI"":""अरे वाह!""}}]",1,3,"आपके एम्प्लायर आपको दिवाली के लिए बहुत अच्छा बोनस देते है|","event_22.png","event_22.mp3","..."
"ObjectId(""5fc3ef49660616e15361e150"")",19,"A group of people from your neighbourhood have been collectively investing their money in a scheme that promises a higher interest rate than schemes available at banks. They ask you to join them. What do you do?","[{""id"":1,""description"":""Accept (Contribute ₹800 per month)"",""action"":{""expenditure"":800,""debt"":0,""current"":0,""events"":[{""id"":20,""probability"":1}]},""audio"":{""HI"":""event_19_option_1.mp3""},""translation"":{""HI"":""उनके साथ शामिल हो जाएं (हर महीने ₹800 देने होंगे )""}},{""id"":2,""description"":""Refuse"",""action"":{""expenditure"":0,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_19_option_2.mp3""},""translation"":{""HI"":""मना करें""}}]",0.5,"[2,3,4]","आपके पड़ोस के लोग इकट्ठा होकर एक ऐसी योजना में अपना पैसा लगा रहा है जो बैंकों में उपलब्ध योजनाओं से ज़्यादा ब्याज देती है। वे आपको उनके साथ शामिल होने के लिए कहते हैं। आप क्या करते हैं?","event_19.png","event_19.mp3","A group of people from your neighbourhood have been collectively investing their money in a scheme that promises a higher interest rate than schemes available at banks. They ask you to join them. What do you do?"
"ObjectId(""5fc3ef49660616e15361e151"")",24,"Do you want to enroll for the government's Pradhan Mantri Jeevan Jyoti Bima Yojana scheme? The annual premium is ₹330, the cover amount is ₹2 lakh. The policy needs to be renewed every year.","[{""id"":1,""description"":""Yes (Will cost ₹330 per year)"",""action"":{""expenditure"":27.5,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_24_option_1.mp3""},""translation"":{""HI"":""हाँ (हर साल ₹330 भरने है)""}},{""id"":2,""description"":""No"",""action"":{""expenditure"":0,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_24_option_2.mp3""},""translation"":{""HI"":""नहीं""}}]",1,1,"क्या आप सरकार की प्रधानमंत्री जीवन ज्योति बीमा योजना के लिए नामांकन करना चाहते हैं? हर साल ₹330 का प्रीमियम भरना है, कवर राशि ₹2 लाख है। पॉलिसी को हर साल रेनू करने की आवश्यकता है।","event_24.png","event_24.mp3","..."
"ObjectId(""5fc3ef49660616e15361e152"")",23,"An accident insurance scheme would help in the unfortunate event of an accident. Do you want to enroll for the government's Pradhan Mantri Suraksha Bima Yojana scheme? The annual premium is ₹12, the cover amount is ₹2 lakh","[{""id"":1,""description"":""Yes (Will cost ₹12 per year)"",""action"":{""expenditure"":1,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_23_option_1.mp3""},""translation"":{""HI"":""हाँ (हर साल बारह रुपये ही भरने है)""}},{""id"":2,""description"":""No"",""action"":{""expenditure"":0,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_23_option_2.mp3""},""translation"":{""HI"":""नहीं""}}]",1,1,"दुर्घटना बीमा योजना किसी दुर्भाग्यवश दुर्घटना में मदद करेगी। क्या आप सरकार की प्रधानमंत्री सुरक्षा बीमा योजना के लिए नामांकन करना चाहते हैं? वार्षिक प्रीमियम ₹12 है, कवर राशि ₹ 2 लाख है","event_23.png","event_23.mp3","..."
"ObjectId(""5fc3ef49660616e15361e153"")",21,"You have been attacked by a thief! What do you do?","[{""id"":1,""description"":""Hand over money"",""action"":{""expenditure"":0,""debt"":0,""current"":-2000,""events"":[]},""audio"":{""HI"":""event_21_option_1.mp3""},""translation"":{""HI"":""पैसे सौंप दें|""}},{""id"":2,""description"":""Try to fight off or run away"",""action"":{""expenditure"":0,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_21_option_2.mp3""},""translation"":{""HI"":""लड़ने या भागने की कोशिश करें|""}}]",0.5,"[1,2,3,4]","आप पर चोर ने हमला किया है! आप क्या करते हैं?","event_21.png","event_21.mp3","You have been attacked by a thief! What do you do?"
"ObjectId(""5fc3ef49660616e15361e154"")",26,"It would be good to buy a life insurance policy. Do you want to buy an LIC policy with an assured sum of ₹ 1 lakh? The monthly premium is ₹500.","[{""id"":1,""description"":""Yes (Will cost ₹500 per month)"",""action"":{""expenditure"":500,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_26_option_1.mp3""},""translation"":{""HI"":""हाँ (हर महीने ₹500 भरने है)""}},{""id"":2,""description"":""No"",""action"":{""expenditure"":0,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_26_option_2.mp3""},""translation"":{""HI"":""नहीं""}}]",1,1,"जीवन बीमा पॉलिसी खरीदना अच्छा होगा। क्या आप ₹ 1 लाख की सुनिश्चित राशि वाली LIC पॉलिसी खरीदना चाहते हैं? मासिक प्रीमियम ₹ 500 है।","event_26.png","event_26.mp3","..."
"ObjectId(""5fc3ef49660616e15361e155"")",20,"The neighbourhood scheme was a fraud, you lose all the money which you had invested.","[{""id"":1,""description"":""Oh no..."",""action"":{""expenditure"":0,""debt"":0,""current"":-10000,""events"":[]},""audio"":{""HI"":""event_20_option_1.mp3""},""translation"":{""HI"":""अरे नहीं...""}}]",0,"[2,3,4]","पड़ोसियों वाली योजना एक धोखा निकली, आपने जो भी पैसा लगाया था वह सारा पैसा खो दिया।","event_20.png","event_20.mp3","The neighbourhood scheme was a fraud, you lose all the money which you had invested."
"ObjectId(""5fc3ef49660616e15361e156"")",25,"Do you want to buy a health insurance policy?","[{""id"":1,""description"":""Yes, buy an individual plan whose annual premium is ₹5000, and the cover amount is ₹2 lakh"",""action"":{""expenditure"":416.66,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_25_option_1.mp3""},""translation"":{""HI"":""हां, एक व्यक्तिगत योजना खरीदें, जिसमे हर साल ₹5000 का प्रीमियम भरना है, और कवर राशि ₹2 लाख है|""}},{""id"":2,""description"":""Yes, buy a family plan whose annual premium is ₹6000, the cover amount is ₹3 lakh, and it includes your spouse and children"",""action"":{""expenditure"":500,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_25_option_2.mp3""},""translation"":{""HI"":""हां, एक पारिवारिक योजना खरीदें, जिसमे हर साल ₹6000 का प्रीमियम भरना है, कवर राशि ₹3 लाख है, और इसमें आपके पति या पत्नी और बच्चे शामिल हैं|""}},{""id"":3,""description"":""Yes, buy a family plan whose annual premium is ₹10000, the cover amount is ₹3 lakh, and it includes your parents, spouse and children"",""action"":{""expenditure"":833.33,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_25_option_3.mp3""},""translation"":{""HI"":""हां, एक पारिवारिक योजना खरीदें, जिसमे हर साल ₹10000 का प्रीमियम भरना है, कवर राशि ₹3 लाख है, और इसमें आपके माता-पिता, पति या पत्नी और बच्चे शामिल हैं|""}},{""id"":4,""description"":""No, don't want to buy a health insurance policy"",""action"":{""expenditure"":0,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_25_option_4.mp3""},""translation"":{""HI"":""नहीं, स्वास्थ्य बीमा पॉलिसी नहीं खरीदना चाहते|""}}]",1,2,"क्या आप स्वास्थ्य बीमा पॉलिसी खरीदना चाहेंगे?","event_25.png","event_25.mp3","..."
"ObjectId(""5fc3ef49660616e15361e157"")",7,"Your eyesight gets weaker","[{""id"":1,""description"":""Get an eye check-up done and buy spectacles (Needs ₹2500)"",""action"":{""expenditure"":0,""debt"":0,""current"":-2500,""events"":[]},""audio"":{""HI"":""event_7_option_1.mp3""},""translation"":{""HI"":""आंखों की जांच कराएं और चश्मा खरीदें| (₹2500 खर्च होंगे )""}},{""id"":2,""description"":""Ignore it"",""action"":{""expenditure"":0,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_7_option_2.mp3""},""translation"":{""HI"":""इसके बारे में कुछ नहीं करना है |""}}]",0.7,2,"आपकी आंखें कमज़ोर हो जाती हैं, ठीक से दिखाई नहीं देता |","event_7.png","event_7.mp3","Your eyesight gets weaker"
"ObjectId(""5fc3ef49660616e15361e158"")",30,"Your uncle sold some old family-owned land and you get a share of the money acquired","[{""id"":1,""description"":""Ok"",""action"":{""expenditure"":0,""debt"":0,""current"":500000,""events"":[]},""audio"":{""HI"":""event_30_option_1.mp3""},""translation"":{""HI"":""ठीक है""}}]",0.8,2,"आपके चाचा ने एक पुरानी जमीन बेची और आपको पैसों का एक हिस्सा मिलता है|","event_30.png","event_30.mp3","..."
"ObjectId(""5fc3ef49660616e15361e159"")",28,"Do you want to apply for the Atal Pension Yojana scheme?","[{""id"":1,""description"":""Yes (To get a monthly pension of ₹1000 on reaching age 60, will have to pay ₹116 per month until you turn 60)"",""action"":{""expenditure"":116,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_28_option_1.mp3""},""translation"":{""HI"":""हाँ (60 साल के हो जाने पर, हर महीने ₹1000 की पेंशन पाने के लिए, अभी आपको 60 साल की उम्र तक हर महीने ₹116 भरने होंगे)""}},{""id"":2,""description"":""Yes (To get a monthly pension of ₹2000 on reaching age 60, will have to pay ₹231 per month until you turn 60)"",""action"":{""expenditure"":231,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_28_option_2.mp3""},""translation"":{""HI"":""हाँ (60 साल के हो जाने पर, हर महीने ₹2000 की पेंशन पाने के लिए, अभी आपको 60 साल की उम्र तक हर महीने ₹231 भरने होंगे)""}},{""id"":3,""description"":""Yes (To get a monthly pension of ₹3000 on reaching age 60, will have to pay ₹347 per month until you turn 60)"",""action"":{""expenditure"":347,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_28_option_3.mp3""},""translation"":{""HI"":""हाँ (60 साल के हो जाने पर, हर महीने ₹3000 की पेंशन पाने के लिए, अभी आपको 60 साल की उम्र तक हर महीने ₹347 भरने होंगे)""}},{""id"":4,""description"":""No"",""action"":{""expenditure"":0,""debt"":0,""current"":0,""events"":[{""id"":29,""probability"":1}]},""audio"":{""HI"":""event_28_option_4.mp3""},""translation"":{""HI"":""नहीं""}}]",0,2,"क्या आप अटल पेंशन योजना के लिए अप्लाई करना चाहते हैं?","event_28.png","event_28.mp3","..."
"ObjectId(""5fc3ef49660616e15361e15a"")",5,"You get married. How much do you spend on the wedding from your end?","[{""id"":1,""description"":""Spend Rs 1 lakh, family members will take care of the rest"",""action"":{""expenditure"":0,""debt"":0,""current"":-100000,""events"":[]},""audio"":{""HI"":""event_5_option_1.mp3""},""translation"":{""HI"":""1 लाख रुपए खर्च करें, परिवार के अन्य सदस्य बाकी का खर्च संभालेंगे|""}},{""id"":2,""description"":""Spend Rs 1.5 lakh, family members will take care of the rest"",""action"":{""expenditure"":0,""debt"":0,""current"":-150000,""events"":[]},""audio"":{""HI"":""event_5_option_2.mp3""},""translation"":{""HI"":""1.5 लाख रुपए खर्च करें, परिवार के अन्य सदस्य बाकी का खर्च संभालेंगे|""}}]",0,2,"आपकी शादी होती है| आप अपनी ओर से शादी पर कितना खर्च करते हैं ?","event_5.png","event_5.mp3","You get married. How much do you spend on the wedding from your end?"
"ObjectId(""5fc3ef49660616e15361e15b"")",6,"You have kids. The family members living with you now include your parents, your spouse, and your kids.","[{""id"":1,""description"":""Ok"",""action"":{""expenditure"":2000,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_6_option_1.mp3""},""translation"":{""HI"":""ठीक है""}}]",1,2,"आपके बच्चे होते है | आपके साथ रहने वाले परिवार वालों में अब आपके माता-पिता, आपके जीवनसाथी, और आपके बच्चे शामिल हैं।","event_6.png","event_6.mp3","You have kids. The family members living with you now include your parents, your spouse, and your kids."
"ObjectId(""5fc3ef49660616e15361e15c"")",29,"Do you want to apply for the Atal Pension Yojana scheme?","[{""id"":1,""description"":""Yes (To get a monthly pension of ₹1000 on reaching age 60, will have to pay ₹291 per month until you turn 60)"",""action"":{""expenditure"":291,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_29_option_1.mp3""},""translation"":{""HI"":""हाँ (60 साल के हो जाने पर, हर महीने ₹1000 की पेंशन पाने के लिए, अभी आपको 60 साल की उम्र तक हर महीने ₹291 भरने होंगे)""}},{""id"":2,""description"":""Yes (To get a monthly pension of ₹2000 on reaching age 60, will have to pay ₹582 per month until you turn 60)"",""action"":{""expenditure"":582,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_29_option_2.mp3""},""translation"":{""HI"":""हाँ (60 साल के हो जाने पर, हर महीने ₹2000 की पेंशन पाने के लिए, अभी आपको 60 साल की उम्र तक हर महीने ₹582 भरने होंगे)""}},{""id"":3,""description"":""Yes (To get a monthly pension of ₹3000 on reaching age 60, will have to pay ₹873 per month until you turn 60)"",""action"":{""expenditure"":873,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_29_option_3.mp3""},""translation"":{""HI"":""हाँ (60 साल के हो जाने पर, हर महीने ₹3000 की पेंशन पाने के लिए, अभी आपको 60 साल की उम्र तक हर महीने ₹873 भरने होंगे)""}},{""id"":4,""description"":""No"",""action"":{""expenditure"":0,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_29_option_4.mp3""},""translation"":{""HI"":""नहीं""}}]",0,3,"क्या आप अटल पेंशन योजना के लिए अप्लाई करना चाहते हैं?","event_29.png","event_29.mp3","..."
"ObjectId(""5fc3ef49660616e15361e15d"")",27,"Do you want to apply for the Atal Pension Yojana scheme?","[{""id"":1,""description"":""Yes (To get a monthly pension of ₹1000 on reaching age 60, will have to pay ₹50 per month until you turn 60)"",""action"":{""expenditure"":50,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_27_option_1.mp3""},""translation"":{""HI"":""हाँ (60 साल के हो जाने पर, हर महीने ₹1000 की पेंशन पाने के लिए, अभी आपको 60 साल की उम्र तक हर महीने ₹50 भरने होंगे)""}},{""id"":2,""description"":""Yes (To get a monthly pension of ₹2000 on reaching age 60, will have to pay ₹100 per month until you turn 60)"",""action"":{""expenditure"":100,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_27_option_2.mp3""},""translation"":{""HI"":""हाँ (60 साल के हो जाने पर, हर महीने ₹2000 की पेंशन पाने के लिए, अभी आपको 60 साल की उम्र तक हर महीने ₹100 भरने होंगे)""}},{""id"":3,""description"":""Yes (To get a monthly pension of ₹3000 on reaching age 60, will have to pay ₹150 per month until you turn 60)"",""action"":{""expenditure"":150,""debt"":0,""current"":0,""events"":[]},""audio"":{""HI"":""event_27_option_3.mp3""},""translation"":{""HI"":""हाँ (60 साल के हो जाने पर, हर महीने ₹3000 की पेंशन पाने के लिए, अभी आपको 60 साल की उम्र तक हर महीने ₹150 भरने होंगे)""}},{""id"":4,""description"":""No"",""action"":{""expenditure"":0,""debt"":0,""current"":0,""events"":[{""id"":28,""probability"":1}]},""audio"":{""HI"":""event_27_option_4.mp3""},""translation"":{""HI"":""नहीं""}}]",1,1,"क्या आप अटल पेंशन योजना के लिए अप्लाई करना चाहते हैं?","event_27.png","event_27.mp3","..."
